Text Length,Average Word Length,Max Word Length,% Special Characters,% Punctuation,Language,Sentiment,Subjectivity,Average Words Per Sentence,Reading Ease,Lexical Density
140,4.708333333333333,12,0.0,0.02857142857142857,en,-0.0625,0.1875,24.0,27.375,83.33
144,4.72,10,0.0,0.013888888888888888,en,0.08333333333333333,0.1111111111111111,25.0,56.252,92.0
167,6.130434782608695,14,0.0,0.023952095808383235,en,0.0,0.5,23.0,47.394,86.96
61,4.545454545454546,11,0.0,0.01639344262295082,en,0.4,0.5,11.0,64.925,100.0
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
42,5.666666666666667,13,0.0,0.047619047619047616,,,,6.0,,100.0
192,4.7272727272727275,9,0.005208333333333333,0.020833333333333332,en,0.0,0.0,33.0,42.595,90.91
63,4.7272727272727275,11,0.0,0.015873015873015872,en,0.3181818181818182,0.4772727272727273,11.0,87.997,100.0
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
117,4.2727272727272725,14,0.0,0.017094017094017096,en,-0.0625,0.22083333333333333,22.0,38.378,86.36
218,4.916666666666667,10,0.0,0.027522935779816515,en,-0.1,0.25,36.0,41.045,91.67
185,5.379310344827586,13,0.0,0.005405405405405406,en,0.21212121212121213,0.4478114478114478,29.0,69.462,96.55
115,5.052631578947368,13,0.0,0.008695652173913044,en,-0.02121212121212122,0.15151515151515152,19.0,40.613,94.74
110,5.111111111111111,9,0.0,0.00909090909090909,en,0.0,0.0,18.0,42.865,88.89
95,4.529411764705882,8,0.0,0.021052631578947368,en,0.09999999999999999,0.3333333333333333,17.0,65.168,100.0
77,4.923076923076923,9,0.0,0.012987012987012988,en,0.06818181818181818,0.5397727272727273,13.0,50.471,92.31
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
73,4.071428571428571,8,0.0,0.0410958904109589,en,0.15714285714285714,0.5142857142857142,14.0,71.768,100.0
78,5.416666666666667,14,0.0,0.02564102564102564,en,0.16666666666666666,0.3333333333333333,12.0,60.705,100.0
171,5.071428571428571,10,0.0,0.011695906432748537,en,0.2333333333333333,0.3,28.0,36.408,96.43
120,5.611111111111111,12,0.0,0.016666666666666666,en,0.09000000000000001,0.61,18.0,71.065,94.44
136,5.090909090909091,13,0.0,0.022058823529411766,en,0.16666666666666666,0.55,22.0,42.223,90.91
174,5.214285714285714,12,0.0,0.005747126436781609,en,0.35714285714285715,0.5714285714285714,28.0,39.429,85.71
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
148,5.904761904761905,12,0.0,0.02702702702702703,en,0.3666666666666667,0.3888888888888889,21.0,56.606,100.0
114,4.6,8,0.0,0.02631578947368421,en,-0.175,0.3333333333333333,20.0,38.485,90.0
74,4.615384615384615,10,0.0,0.02702702702702703,en,0.0,0.0,13.0,43.963,100.0
110,4.944444444444445,12,0.0,0.03636363636363636,en,0.25,0.3333333333333333,18.0,47.565,94.44
205,4.735294117647059,14,0.0,0.05365853658536585,en,-0.10000000000000002,0.8833333333333333,34.0,75.284,88.24
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
143,5.173913043478261,14,0.0,0.013986013986013986,en,0.36818181818181817,0.7272727272727273,23.0,58.429,82.61
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
127,4.434782608695652,12,0.0,0.023622047244094488,en,0.0,0.0,23.0,54.751,95.65
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
83,4.1875,11,0.0,0.012048192771084338,en,-0.2,0.0,16.0,68.983,93.75
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
126,4.173913043478261,12,0.0,0.06349206349206349,en,0.24999999999999997,0.30000000000000004,11.5,73.78,95.65
104,4.722222222222222,9,0.0,0.019230769230769232,en,0.16666666666666666,0.5256410256410257,18.0,47.565,94.44
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
183,5.285714285714286,13,0.0,0.04371584699453552,en,0.0,0.07142857142857142,28.0,75.686,85.71
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
14,6.0,8,0.0,0.07142857142857142,en,0.0,0.0,2.0,120.205,100.0
14,3.0,4,0.0,0.21428571428571427,en,0.0,0.0,3.0,147.39,100.0
84,5.384615384615385,11,0.0,0.023809523809523808,en,0.0,0.14285714285714285,13.0,50.471,84.62
196,5.655172413793103,12,0.0,0.015306122448979591,en,0.13333333333333333,0.2920634920634921,29.0,51.959,93.1
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
148,6.1,13,0.0,0.0472972972972973,en,0.0,0.0,20.0,89.245,100.0
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
89,4.866666666666666,11,0.0,0.02247191011235955,en,0.0,0.0,15.0,101.37,93.33
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
228,5.314285714285714,13,0.0043859649122807015,0.039473684210526314,en,0.0,0.0,35.0,74.624,94.29
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
163,5.24,11,0.012269938650306749,0.03680981595092025,en,0.0,0.0,25.0,90.092,96.0
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
14,6.0,8,0.0,0.07142857142857142,en,0.0,0.0,2.0,120.205,100.0
14,3.0,4,0.0,0.21428571428571427,,,,3.0,,100.0
144,5.217391304347826,12,0.0,0.013888888888888888,en,0.6666666666666666,1.0,23.0,32.681,82.61
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
166,4.777777777777778,11,0.0,0.06626506024096386,en,0.0,0.0,13.5,105.399,88.89
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
16,7.0,7,0.0,0.0625,,,,2.0,,100.0
132,5.631578947368421,13,0.0,0.05303030303030303,en,-0.08333333333333333,0.08333333333333333,19.0,67.329,89.47
1,0.0,0,1.0,0.0,de,,,0.0,,
16,7.0,7,0.0,0.0625,,,,2.0,,100.0
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
169,5.76,13,0.0,0.005917159763313609,en,0.6,1.0,25.0,56.252,92.0
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
16,7.0,7,0.0,0.0625,,,,2.0,,100.0
98,4.444444444444445,9,0.0,0.01020408163265306,en,0.03125,0.40625,18.0,66.365,100.0
78,3.8125,8,0.0,0.02564102564102564,en,0.0,0.0,16.0,58.407,87.5
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
221,5.142857142857143,11,0.0,0.03167420814479638,en,0.0,0.125,35.0,48.036,77.14
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
16,7.0,7,0.0,0.0625,,,,2.0,,100.0
102,5.0,11,0.0,0.00980392156862745,en,0.05,0.35,17.0,60.192,94.12
98,5.928571428571429,9,0.0,0.02040816326530612,en,0.0,0.3666666666666667,14.0,47.596,92.86
189,5.032258064516129,11,0.0,0.015873015873015872,en,0.375,0.875,31.0,19.815,80.65
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
193,5.857142857142857,11,0.0,0.010362694300518135,en,0.3,0.7,28.0,39.429,92.86
100,4.5,10,0.0,0.02,en,-0.125,0.375,18.0,42.865,88.89
64,4.818181818181818,10,0.0,0.015625,en,0.13636363636363635,0.45454545454545453,11.0,64.925,100.0
108,6.266666666666667,11,0.0,0.0,en,-0.0625,0.2375,15.0,28.05,100.0
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
152,4.444444444444445,11,0.0,0.039473684210526314,en,-0.15,0.25,27.0,69.763,96.3
55,4.0,10,0.0,0.01818181818181818,en,0.0,0.0,11.0,111.07,90.91
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
102,6.214285714285714,10,0.0,0.0196078431372549,,,,14.0,,92.86
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
71,9.285714285714286,14,0.0,0.0,en,0.0,0.25,7.0,78.873,100.0
4,4.0,4,0.0,0.0,en,0.0,0.0,1.0,121.22,100.0
